Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
SORBETES;-511336,9626;2612;5800;122,05;5300;102,91;2010;19;02/01/2024
SORBETES;-657433,9626;250;550;120;500;100;2011;1;23/11/2023
TERGOPOL;TAPA VASOS TERMICOS X 120 C.C;43;90;109,3;8000;86,05;2034;705;27/12/2023
TERGOPOL;TAPA VASOS TERMICOS X 180 C.C;24;60;150;5000;108,33;2035;441;27/12/2023
BANDEJAS C/TAPAS MICRO;TAPAS 107 PP COTNYL;142;310;118,31;28500;100,7;1027;2914;04/12/2023
BANDEJAS C/TAPAS MICRO;TAPAS BANDEJAS 102 PP COTNYL;48;105;118,75;9500;97,92;1028;516;04/12/2023
BANDEJAS C/TAPAS MICRO;TAPAS BANDEJAS 103 PP COTNYL;62;145;133,87;13000;109,68;72;250;04/12/2023
BANDEJAS C/TAPAS MICRO;TAPAS BANDEJAS 105 PP COTNYL;107;220;105,61;21000;96,26;1022;3;04/12/2023
TERGOPOL;TAPAS VASOS TERMICOS X 240 C.C;26;60;130,77;5500;111,54;2036;856;27/12/2023
TERGOPOL;TAPAS VASOS TERMICOS X 300C.C;45;100;122,22;9000;100;2037;148;27/12/2023
PLATOS POTES CUBIERTOS;TENEDORES BCO REF;17;40;135,29;1750;105,88;1189;2750;13/12/2023
PAPELES;TOALLA BOB. KING PACK X300MTS PREMIUN;4361;9500;117,84;18600;113,25;1169;140;03/01/2024
TOALLAS HIGIENICOS PAPEL INDUST;TOALLA BOBINAS X 200 MTS Bca.;1853;4100;121,26;15200;105,07;2030;8;03/01/2024
TOALLAS HIGIENICOS PAPEL INDUST;TOALLA INTERCALADA X 1800BCA PREMIUN;7260;15800;117,63;15600;114,88;2031;0;03/01/2024
BANDEJAS DPM;TORTERA PET T26 ALTA BASE -TAPA;515;1000;94,17;9000;74,76;1120;0;13/12/2023
BANDEJAS DPM;TORTERA PET T26 BAJA BASE -TAPA;701;1500;113,98;70000;99,71;1121;0;13/12/2023
BANDEJAS DPM;TORTERA PET T28 BAJA BASE -TAPA;1520;3200;110,53;30000;97,37;1122;0;13/12/2023
BANDEJAS DPM;TORTERA PET T32 ALTA BASE -TAPA;1150;2300;100;22000;91,3;1123;0;13/12/2023
BANDEJAS DPM;TORTERA PET T32 BAJA BASE -TAPA;936;1900;102,99;17000;81,62;1124;0;13/12/2023
GUANTES;TRAPO DE PISO;170;272;60;2635;55;1158;0;09/11/2023
BANDEJAS CARTÖN;TRIPODES X 1KG;600;1320;120;1200;100;1048;9;03/01/2024
VASOS;VASO TRAGO LARGO COLOR;58;128;120;5800;100;2038;500;20/11/2023
VASOS;VASOS DEGUSTACION ACRILICO;60;125;108,33;675;87,5;2039;0;09/11/2023
VASOS;VASOS MILANO 370 C.C C/TAPA;125;250;100;24000;92;2040;349;13/12/2023
VASOS;VASOS OCTOGONAL 200C.C;40;70;75;1240;55;2041;0;20/11/2023
VASOS;VASOS PLASTICOS x 1 LTS;125;300;140;25000;100;2042;111;03/01/2024
VASOS;VASOS PLASTICOS x 110c.c;39;85;117,95;7500;92,31;2043;2874;27/12/2023
VASOS;VASOS PLASTICOS X 180 c.c;33;75;127,27;6456;95,65;2044;3378;27/12/2023
VASOS;VASOS PLASTICOS x 220c.c;23;55;139,13;5000;117,39;2045;10629;14/12/2023
VASOS;VASOS PLASTICOS x 330c.c;32;70;118,75;6500;103,13;2046;2444;14/12/2023
VASOS;VASOS PLASTICOS x 500c.c;69;150;117,39;12000;73,91;2047;40845;03/01/2024
VASOS;VASOS PLASTICOS X 70 c.c;41;90;119,51;8000;95,12;2048;288;27/12/2023
VASOS;VASOS PLASTICOS x 800c.c;81;200;146,91;18000;122,22;2049;-3448;03/01/2024
TERGOPOL;VASOS TERMICOS X 120 C.C;43;100;132,56;9000;109,3;2050;3625;27/12/2023
TERGOPOL;VASOS TERMICOS X 180 C.C;52;110;111,54;10000;92,31;2051;3750;27/12/2023
TERGOPOL;VASOS TERMICOS X 240 C.C;59;130;120,93;12000;103,39;2052;5630;27/12/2023
TERGOPOL;VASOS TERMICOS X 300 C.C;78;170;117,95;16000;105,13;2053;4800;27/12/2023
VASOS;VASOS TRAGO LARGO LUNARES;60;100;66,67;9300;55;2054;-75;20/11/2023
VASOS;VASOS X 800 C.C DUROS COLOR;322;750;132,92;70000;117,39;2055;264;27/12/2023
CINTAS DE EMBALAR;VELAS CUMPLEA•OS X24;120;300;150;1584;120;1024;0;20/11/2023
CINTAS DE EMBALAR;VELAS X12;200;440;120;2400;100;1025;0;20/11/2023
